Model,Threshold,Sensitivity,Specificity,Precision,F1_Score,Accuracy
stacking_ensemble,0.2,0.5,0.30434782608695654,0.2727272727272727,0.35294117647058826,0.37142857142857144
stacking_ensemble,0.22,0.5,0.391304347826087,0.3,0.375,0.42857142857142855
stacking_ensemble,0.24,0.5,0.4782608695652174,0.3333333333333333,0.4,0.4857142857142857
stacking_ensemble,0.26,0.5,0.4782608695652174,0.3333333333333333,0.4,0.4857142857142857
stacking_ensemble,0.27999999999999997,0.5,0.6086956521739131,0.4,0.4444444444444444,0.5714285714285714
stacking_ensemble,0.29999999999999993,0.5,0.6521739130434783,0.42857142857142855,0.46153846153846156,0.6
stacking_ensemble,0.31999999999999995,0.4166666666666667,0.6521739130434783,0.38461538461538464,0.4,0.5714285714285714
stacking_ensemble,0.33999999999999997,0.4166666666666667,0.7391304347826086,0.45454545454545453,0.43478260869565216,0.6285714285714286
stacking_ensemble,0.35999999999999993,0.4166666666666667,0.7391304347826086,0.45454545454545453,0.43478260869565216,0.6285714285714286
stacking_ensemble,0.3799999999999999,0.4166666666666667,0.8695652173913043,0.625,0.5,0.7142857142857143
stacking_ensemble,0.3999999999999999,0.4166666666666667,0.9130434782608695,0.7142857142857143,0.5263157894736842,0.7428571428571429
stacking_ensemble,0.41999999999999993,0.3333333333333333,0.9130434782608695,0.6666666666666666,0.4444444444444444,0.7142857142857143
stacking_ensemble,0.4399999999999999,0.25,0.9130434782608695,0.6,0.35294117647058826,0.6857142857142857
stacking_ensemble,0.4599999999999999,0.25,0.9565217391304348,0.75,0.375,0.7142857142857143
stacking_ensemble,0.47999999999999987,0.25,0.9565217391304348,0.75,0.375,0.7142857142857143
stacking_ensemble,0.49999999999999983,0.25,0.9565217391304348,0.75,0.375,0.7142857142857143
stacking_ensemble,0.5199999999999998,0.25,0.9565217391304348,0.75,0.375,0.7142857142857143
stacking_ensemble,0.5399999999999998,0.16666666666666666,0.9565217391304348,0.6666666666666666,0.26666666666666666,0.6857142857142857
stacking_ensemble,0.5599999999999998,0.16666666666666666,0.9565217391304348,0.6666666666666666,0.26666666666666666,0.6857142857142857
stacking_ensemble,0.5799999999999998,0.08333333333333333,0.9565217391304348,0.5,0.14285714285714285,0.6571428571428571
